early_stopping_counter_per_epoch,validation_batch_averaged_mae_loss_per_epoch,train_batch_averaged_mae_loss_per_epoch,validation_batch_averaged_mse_loss_per_epoch,train_batch_averaged_mse_loss_per_epoch,epoch
0.0,0.006161327368205355,0.010370781533653431,0.0001848156276049774,0.0011474255948184559,0
0.0,0.006061704866140057,0.006282745656339821,0.0001795533128383592,0.00018542901186855695,1
1.0,0.006451769231072918,0.00613448314842965,0.00020798620866604398,0.00017862166920246597,2
2.0,0.006803821892352756,0.006035126740210357,0.00023457169905024872,0.00017345419453338438,3
3.0,0.0061014283822907,0.005967208797519776,0.0001646066386793913,0.0001698778555266523,4
4.0,0.0062000305628679255,0.0059202983268511235,0.00019077550110473582,0.00016785337876944748,5
0.0,0.0057600004033624,0.00586069155520126,0.0001696135058506597,0.00016529635478487715,6
1.0,0.006284478294928766,0.005838355580351659,0.00020046517122104842,0.00016389904544315066,7
2.0,0.005776881799581893,0.00577970900742355,0.00016366695265403286,0.00016089228586718926,8
3.0,0.006620517326998957,0.005738122445512659,0.00021605629124778685,0.00015888881194714097,9
4.0,0.005765957132148272,0.005685730381575725,0.00017263125970277973,0.00015647861636900473,10
5.0,0.006468045758883568,0.005648829540657806,0.00016409836380856105,0.00015467509897834126,11
6.0,0.006467806264962937,0.005601244204277523,0.00018089848613131253,0.00015242174159675045,12
7.0,0.005939806814711937,0.005539158590799561,0.00016077730758775737,0.00014935720246982235,13
8.0,0.0068388064871974215,0.005461539717647813,0.00021036080296969048,0.00014570283312588146,14
9.0,0.006436673514672981,0.005384621098870926,0.00016006128009887974,0.00014220925334088388,15
10.0,0.005984975921175734,0.005290999854506489,0.00018213542762950152,0.0001374018696183227,16
11.0,0.006129476870650176,0.005179109127146131,0.00016087740448685972,0.00013201356600839545,17
12.0,0.006389710988170912,0.0050664957173171404,0.00017123624950061677,0.00012692842692283977,18
13.0,0.005910110071019823,0.0049476476815819475,0.00017380882288598137,0.00012129284047003744,19
14.0,0.006713835024866964,0.004814111631927777,0.00020637473819978995,0.00011542539908914853,20
15.0,0.006049046816169908,0.004712874221312831,0.00016621786873900456,0.00011112120367871689,21
