model_name,datasplit,l1_loss,l2_loss,psnr,ssim
fnet_normalized_same_background,training,0.004985527569745722,0.00011770415348934807,42.263964083306455,1.600324191931991
fnet_normalized_same_background,validation,0.004914148714372951,0.00011278558656638982,42.30714103322224,1.6092251715205355
unet_optimized_black_background,training,0.004962270272929938,0.00011832961364698285,42.240876837303595,1.546478669423582
unet_optimized_black_background,validation,0.004988065907652949,0.00011868473535301275,42.19547965272552,1.5493042792777658
unet_optimized_black_background,training,0.00420419186517093,9.514327225682703e-05,43.3112674515044,1.6319408247131733
unet_optimized_black_background,validation,0.004221673499331809,9.579212995462938e-05,43.24037737877648,1.641178325919256
pix2pix_optimized_no_discriminator_same_background,training,0.003103222741743653,6.405627107376361e-05,45.94844030779155,1.6841373096461318
pix2pix_optimized_no_discriminator_same_background,validation,0.003113133588691845,6.244689748436133e-05,45.904019057090636,1.697382589909687
wgangp_optimized_no_discriminator_same_background,training,0.5343348809784362,0.29109907130494633,5.3763826573515185,0.08289066932170956
wgangp_optimized_no_discriminator_same_background,validation,0.5340042926331846,0.29067864216549294,5.381953637377701,0.08545914738040601
wgangp_cross_zamirski_optimized_no_discriminator_same_background,training,0.0030398516261027782,6.227927653299456e-05,46.18436967239552,1.7032171531585496
wgangp_cross_zamirski_optimized_no_discriminator_same_background,validation,0.0030639397432798724,6.0892492170654796e-05,46.106420008601226,1.7145716018438877
wgangp_cross_zamirski_optimized_no_norms_same_background,training,0.01494970700875167,0.0006634041180189033,33.87583513799935,0.3797383732231719
wgangp_cross_zamirski_optimized_no_norms_same_background,validation,0.015015654096858705,0.0006735100565181216,33.849394554349,0.37920215337228524
wgan_optimized_no_discriminator_same_background,training,0.5289838332402202,0.28749542383973414,5.4234790409160025,0.0019777216505071664
wgan_optimized_no_discriminator_same_background,validation,0.5291428467033115,0.28762676623313355,5.421694827841092,0.0023236298814869327
