early_stopping_counter_per_epoch,validation_batch_averaged_mae_loss_per_epoch,train_batch_averaged_mae_loss_per_epoch,validation_batch_averaged_mse_loss_per_epoch,train_batch_averaged_mse_loss_per_epoch,epoch
0.0,0.6032160997800401,0.6064558674415949,0.5187982517419402,0.5219713338350845,0
0.0,0.6003714642164224,0.6008617913099273,0.5156162559371633,0.5144925820932902,1
0.0,0.5993886667838211,0.5997640605173132,0.5118143541091906,0.5133354183980974,2
0.0,0.5991372488618306,0.5989145226749147,0.5131466317012957,0.5123889368293737,3
1.0,0.6016968150728756,0.5982348907055359,0.5143267705882948,0.511707660527289,4
2.0,0.600247689129151,0.5976723182175031,0.5172447515107512,0.5111261988573419,5
0.0,0.5975729030432161,0.5971890779743321,0.5101710047918496,0.5106404020932113,6
1.0,0.5978229211777756,0.5967945387983639,0.5110308968324432,0.5102741924295024,7
2.0,0.5980173187567196,0.596302668004679,0.510789431349928,0.5097960553234258,8
0.0,0.5971816020323238,0.5958757723792124,0.5108335337688014,0.5093916981380128,9
1.0,0.5978312988051844,0.5954074441024988,0.5118880122387942,0.5089746492481794,10
2.0,0.5983679659178167,0.5948777590152878,0.5132311706485617,0.508510440697807,11
3.0,0.597543731178205,0.5942796284693871,0.5117795410025161,0.5079727571679988,12
4.0,0.5980200306656435,0.5936055063498573,0.5127924628478965,0.5073648646155436,13
5.0,0.59870234101089,0.5929471663718902,0.5128843771018523,0.5067752938368958,14
6.0,0.5984846603419772,0.5921542302334054,0.5125735194207877,0.5060615880399745,15
7.0,0.5985185520345813,0.5914496710042173,0.5111535713844693,0.5054748850924703,16
8.0,0.5991637157820344,0.5906399609678883,0.5114001054124734,0.5047818529491663,17
9.0,0.6009168960794141,0.589878667209108,0.5171458745740124,0.504149637111602,18
10.0,0.6012386855800537,0.5891142381669496,0.5171301153926915,0.503482230814749,19
11.0,0.6008822250202349,0.5883527566337726,0.5166698131979126,0.5028824514559112,20
12.0,0.5996366602039009,0.5876410164724137,0.5130137216389384,0.502312213006754,21
13.0,0.6013588860272542,0.5869217442078193,0.517532641228122,0.5017375210540297,22
14.0,0.5999931525118982,0.5862300038864794,0.5131364430963379,0.5011767202339018,23
15.0,0.6004201268002749,0.5855431120098735,0.5144863455361107,0.5006521822295825,24
